评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Danea Bender,Love!,https://www.amazon.com/gp/customer-reviews/RC5DLKI94LAHR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"3.0 "," the United States "," January 24, 2025",Size: 11.5 WideColor: C-lightgrey,,I did not buy these from Amazon rather got them at Goodwill. I've worn other barefoot shoes prior (including Xeros) and these have so much more comfort in the sole. With these I not only feel I'm helping my feet be naturally spaced within the shoe but also experience a nice cushioned shoe. I liked these so much I searched the internet to find them and was honestly shocked this is where I did and what the price tag was.,
Sheree Kirsch,Love these shoes.,https://www.amazon.com/gp/customer-reviews/R139CFM41UR7A8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"5.0 "," the United States "," January 24, 2025",Size: 10 WideColor: C-lightgrey,Verified Purchase,I have neuropathy and these shoes are awesome. Normally my feet hurt at the end of the day but not with these.,
snap107,Wide Toe Shoe,https://www.amazon.com/gp/customer-reviews/RA96P9Z8Q2AUB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"5.0 "," the United States "," January 24, 2025",Size: 7.5 WideColor: C-black/Gum,Verified Purchase,Very comfortable- love the wide toe!!,
Kim Clark,Interesting,https://www.amazon.com/gp/customer-reviews/R3CG9MOMPMJVCX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"4.0 "," the United States "," January 22, 2025",Size: 9 WideColor: Navy,Verified Purchase,"Come flattened. Tight to out on, plenty of room once on.",
D,🏆These would be fantastic for FAT FEET -no joke❣️,https://www.amazon.com/gp/customer-reviews/R31J1JXN60REYJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"5.0 "," the United States "," January 21, 2025",Size: 7.5 WideColor: B-white,Verified Purchase,"These shoes would be amazing for swollen pregnant feet, diabetic feet or ‘fat feet’ as they are roomy all around❣️❣️❣️ 👍👍 They look identical to the product picture 👍👍 Super wide 👍👍 Fabric is a breathable knit, that’s comfortable & gives like the N¡k€’s FREE RN FLYKNIT* fabric does❣️ 👍👍 Cushion in the sole is nice for walking but would not qualify as “barefoot”, AT ALL! These wouldn’t be suitable for “barefoot“ minimalist trail running (like V¡br@m’s) but these are thin yet comfy enough to be a good option for 🏋️ lifting in. 👍👍 Heel has a loop to pull up on when putting on these shoes or to carabiner hook to a backpack when hiking/drying/etc. 👉 FYI they have minimal arch support 👎 These are made for feet that are wide all around, as stated above. The average minimalist shoe consumer is generally just looking for a wider toe box, flexibility in the sole of the shoe, NOT a shoe that has tons of fabric in the middle for very swollen or fat feet. When tightened and tied, the (extra) fabric in the middle of these shoes bunches up A LOT!  *I love my FLYKNIT N¡k€’s but they are a slender, shoe with too small of a toe box so I was hoping that these would be wider knit option.",
Bevjar,Not really a walking shoe,https://www.amazon.com/gp/customer-reviews/R3J5FYWMQV7S3B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"3.0 "," the United States "," January 18, 2025",Size: 6 WideColor: Navy,,"I guess it's how you define a walking shoe. These might be suitable for clean sidewalks, but I felt every bit of gravel on my neighborhood streets. Didn't even enjoy wearing them indoors. These shoes are wide toed, but not high toed - felt pressure on my big toe from above. Bit of an update: gave the shoes to a friend. She said she's only had them off to go to bed since she received them. She loves them.",
Beth A.,Terrible,https://www.amazon.com/gp/customer-reviews/R1PR23C2DKI0R2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"1.0 "," the United States "," January 18, 2025",Size: 10 WideColor: Darkred,Verified Purchase,I wore them for a week and gave so much foot pain.,
Charles Wagon,My feet no longer hurt at the end of the day,https://www.amazon.com/gp/customer-reviews/R3RP1DMRMOFBWU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"5.0 "," the United States "," January 18, 2025",Size: 7 WideColor: B-white,Verified Purchase,"I love these shoes. I've never used naturalist shoes before but now I don't think I'll go back to regular shoes. It is so nice not having my feet shoved into narrow shoes and my neuroma between my third and fourth toe no longer hurts at all after wearing these. The heel could use a little more padding, but once I broke the shoes in I haven't noticed that as much. I also love that they're stretchy enough that I can leave them tied and just pull them on and off. They're breathable, comfortable, and sporty. I bought a size 7 and that's my typical shoe size. My toes sometimes hit the end while walking, though it's just barely and because my toes aren't being squished together it doesn't bother me, but consider buying 1/2 a size up when you buy them.",
Holly,Good shoe,https://www.amazon.com/gp/customer-reviews/R6HIIC4XXCRHF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"4.0 "," the United States "," January 17, 2025",Size: 6 WideColor: Rosy,Verified Purchase,Not as flexible as I thought they’d be but has a nice sole for wet pavement and keeping my feet dry still. So far they’ve held up well and I enjoy the color.,
Merry C. Wallace,Only shoe that I can wear with my neuropathy 💕,https://www.amazon.com/gp/customer-reviews/R1GAK6UPEWDUAH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"5.0 "," the United States "," January 15, 2025",Size: 7.5 WideColor: C-taupe,Verified Purchase,The wide toe box is fantastic. I have foot neuropathy and have had a very difficult journey finding a shoe that I can wear.  This shoe is great.,
Ashley,Love them,https://www.amazon.com/gp/customer-reviews/RHIKW0VT1LABI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"5.0 "," the United States "," January 14, 2025",Size: 6 WideColor: C-black/Gum,Verified Purchase,"Super comfy, wide toe box. I wear a 6.5 and had to size down to a 6.",
Joy L.,How they arrived,https://www.amazon.com/gp/customer-reviews/R2TYXPLE82K61M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"1.0 "," the United States "," January 12, 2025",Size: 7.5 WideColor: B-white,Verified Purchase,The shoes are poor quality large to size 7.5 more like 8.5 shoes where flattenedand mis- shaped,
Jessica,Lelsfit walking shoe,https://www.amazon.com/gp/customer-reviews/R1ICELD54FZABI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"3.0 "," the United States "," January 11, 2025",Size: 9 WideColor: C-lightgrey,Verified Purchase,"Toe box was comfortable, unfortunately my high arches made it very difficult to get the shoes on. Because of this I had to return them.",
Pam Katz,For perfectly. Feel great!,https://www.amazon.com/gp/customer-reviews/RWS37O7RCAN6O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"5.0 "," the United States "," January 10, 2025",Size: 7 WideColor: Navy,Verified Purchase,I have wide feet creating a situation for hammertoe in other shoes. These shoes are shaped wonderfully and don’t affect the toe growth. No more hammertoe,
Kenny bloes,Bad soles,https://www.amazon.com/gp/customer-reviews/RQDPCI9814OXM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"2.0 "," the United States "," January 9, 2025",Size: 10 WideColor: Darkpurple,Verified Purchase,The shoe fit good a bit snug but good. I wore them 3 times and now there is a hole in the sole of the shoe. It seems very thin where the hole is. Won't buy again.,
W.Winkler,Not for problem feet,https://www.amazon.com/gp/customer-reviews/R30XEFR313LTMZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"3.0 "," the United States "," January 9, 2025",Size: 9 WideColor: Navy,Verified Purchase,"Nice looking shoes.  Unfortunately if you have problematic feet, these may not work. I was looking for a wide toebox, was searching under ""diabetic shoes."" These look nice and were reasonably priced. However, they are made like a slip on, with a knit collar and no tongue. I wear hard orthotics and a brace on one foot, and these were very hard to put one.  They do not open up to aid problem feet.  Once on, they were comfortable and wide toebox was great, but they took me a quite bit to put on.  Watch carefully if you need easy access shoes. They should not come up under diabetic shoes, especially for swollen, delicate feet.",2
M.Elaine Hornstein,"Price was good, but not made in USA",https://www.amazon.com/gp/customer-reviews/R3NWT614RFQVD0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"5.0 "," the United States "," January 9, 2025",Size: 11.5 WideColor: Black,Verified Purchase,Prompt delivery;  wide toe box shoe as indicated; true to size;  would like company to make in USA!!!,
25yrOldFemale,As advertised,https://www.amazon.com/gp/customer-reviews/RAS8532P74JZM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"5.0 "," the United States "," January 8, 2025",Size: 8 WideColor: C-black/Gum,Verified Purchase,"They feel durable, super lightweight, nice style, feel of basic tennis shoe warmth, can’t wait to test their durability and functionality soon.",
debora m earickson,"The area to slide your foot in is too small, NO TONGUE to help slide foot in.",https://www.amazon.com/gp/customer-reviews/R18N7ZV0IW0FGN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"1.0 "," the United States "," January 7, 2025",Size: 11 WideColor: Darkpurple,Verified Purchase,"I can’t get the shoes on my feet because there is no tongue and the opening is way too small.Not made for  American adult feet. It’s a size 11 shoe with a 9 inch circumference opening. I just can’t stuff my feet in them, it’s a shame.",
63 year old lady,my feet love these,https://www.amazon.com/gp/customer-reviews/R3QJFJKRWGJ1XZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"5.0 "," the United States "," January 7, 2025",Size: 10 WideColor: C-taupe,Verified Purchase,"Summer weight with fairly thin bottoms, but they feel good for natural foot health and especially toe spread. They wash nicely by hand, i do not have the habit of machine washing shoes because i want the inside dirt massaged out with a brush.",
Kathryn E. McIntosh,Actually unexpectedly comfortable,https://www.amazon.com/gp/customer-reviews/R1F0HP5TKD9H0T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CB7SXL25,"5.0 "," the United States "," January 6, 2025",Size: 10 WideColor: B-white,Verified Purchase,"Not only are these shoes quite lovely, but they are remarkably comfortable.  Purchased for work (office) and really pleased with what I have received.  Quality and priced reasonably.",
